edo_code,year,sex,rango_edad,escolaridad,pob,homtot,thom,edo_nom
01,2006,Ambos,0 - 5,No determinado,,0,,Aguascalientes
01,2006,Ambos,0 - 5,Sin escolaridad,89521.992,0,0,Aguascalientes
01,2006,Ambos,0 - 5,Todos,155247,0,0,Aguascalientes
01,2006,Ambos,12 - 15,No determinado,,0,,Aguascalientes
01,2006,Ambos,12 - 15,Preparatoria,1984.7975,0,0,Aguascalientes
01,2006,Ambos,12 - 15,Primaria,39942.801,0,0,Aguascalientes
01,2006,Ambos,12 - 15,Secundaria,53109.82,2,3.7657819,Aguascalientes
01,2006,Ambos,12 - 15,Sin escolaridad,345.7905,0,0,Aguascalientes
01,2006,Ambos,12 - 15,Todos,95731,2,2.0891874,Aguascalientes
01,2006,Ambos,16 - 18,Licenciatura o más,757.83771,0,0,Aguascalientes
01,2006,Ambos,16 - 18,No determinado,,0,,Aguascalientes
01,2006,Ambos,16 - 18,Preparatoria,28439.346,0,0,Aguascalientes
01,2006,Ambos,16 - 18,Primaria,7080.582,0,0,Aguascalientes
01,2006,Ambos,16 - 18,Secundaria,29866.795,0,0,Aguascalientes
01,2006,Ambos,16 - 18,Sin escolaridad,412.35287,0,0,Aguascalientes
01,2006,Ambos,16 - 18,Todos,66660,0,0,Aguascalientes
01,2006,Ambos,19 - 25,Licenciatura o más,31213.918,1,3.2036991,Aguascalientes
01,2006,Ambos,19 - 25,No determinado,,0,,Aguascalientes
01,2006,Ambos,19 - 25,Preparatoria,41230.004,1,2.4254181,Aguascalientes
01,2006,Ambos,19 - 25,Primaria,15472.165,0,0,Aguascalientes
01,2006,Ambos,19 - 25,Secundaria,50610.008,1,1.9758937,Aguascalientes
01,2006,Ambos,19 - 25,Sin escolaridad,994.8927,0,0,Aguascalientes
01,2006,Ambos,19 - 25,Todos,139757,3,2.1465831,Aguascalientes
01,2006,Ambos,26 - 40,Licenciatura o más,48537.215,1,2.0602748,Aguascalientes
01,2006,Ambos,26 - 40,No determinado,,5,,Aguascalientes
01,2006,Ambos,26 - 40,Preparatoria,47765.625,1,2.0935557,Aguascalientes
01,2006,Ambos,26 - 40,Primaria,56939.508,1,1.7562498,Aguascalientes
01,2006,Ambos,26 - 40,Secundaria,90544.93,2,2.2088482,Aguascalientes
01,2006,Ambos,26 - 40,Sin escolaridad,3230.5706,1,30.954285,Aguascalientes
